payroll_employment_fte,payroll_employment_contract,payroll_employment_weeklyHours,id,address_siteState,work_site,work_startDate,work_tenureYears,work_isManager,work_yearsOfService,internal_status,active,fullName,displayName,work_department,eeo_ethnicity,employee_jobLevelId,personal_age,personal_birthDate,personal_nationality,home_legalGender,personal_pronouns,about_superpowers,about_hobbies,home_numberofkids,work_title,about_foodPreferences,internal_probationEndDate,internal_terminationReason,internal_terminationDate,internal_terminationType,humanReadable_payroll_timeSinceLastSalaryChange,timeOffRequest_type,timeOffBalance_totalTaken,peopleanalytics_teamsizeriskindicator,peopleanalytics_numwithsametitleriskindicator,peopleanalytics_yearswithrecentsalaryriskindicator,peopleanalytics_yearswithcurrenttitleriskindicator,peopleanalytics_kidsriskindicator,peopleanalytics_timeofffrequencyriskindicator,peopleanalytics_tenurerankriskindicator,peopleanalytics_ismanagerriskindicator,peopleanalytics_numofdirectreportsriskindicator,peopleanalytics_teamrecentturnoverriskindicator,peopleanalytics_ageriskindicator,peopleanalytics_recentmanagerchangeriskindicator,peopleanalytics_managertenureriskindicator,peopleanalytics_lowriskcounter,peopleanalytics_someriskcounter,peopleanalytics_atriskcounter,payroll_salary_monthlyPayment,payroll_salary_yearlyPayment,financial_bankName,payroll_salary_payFrequency,employeeNumber,Bonus_amount_value,variable_Bonus_amount,Commission_amount_value,executiveBonus_amount_value,lunchVouchers_amount_value,cycleToWork_amount_value,childcareVouchers_amount_value,deduction_seasonTicketLoans_amount,deduction_companyCar_amount,work_manager
1.0,Full-Time,46.60723210038983,3283846745854837760,Karnataka,Bengaluru,2015-02-16,10,True,16,Active,True,Morgan Blackburn,Morgan Blackburn,Customer Service,Hispanic,L3,39,1985-07-18,USA,Non-Binary,They/Them,"theatres and movies, travelling","football,craft beer",0.0,Technical Consultant,Any,2015-08-17,Unknown,,,1.0,Paid Leave,34.0,50.0,50.0,50.0,50.0,10.0,50.0,10.0,10.0,50.0,100.0,10.0,10.0,10.0,6.0,6.0,1.0,59500,714000,HSBC,monthly,EMP1364,59500.0,71400.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,Jason Blood
1.0,Full-Time,47.43078727672058,3283846748371420160,Karnataka,Bengaluru,2014-11-20,10,True,17,Active,True,Frederick Bateson,Frederick Bateson,Marketing,White,L5,41,1983-12-29,UK,Male,He/Him,"football, blogging","chess,theatre,film",1.0,Marketing Manager,Any,2015-05-21,Unknown,,,0.0,Paid Leave,33.0,50.0,10.0,10.0,10.0,50.0,50.0,10.0,10.0,50.0,100.0,10.0,50.0,50.0,6.0,6.0,1.0,66500,798000,HSBC,monthly,EMP3502,66500.0,79800.0,31920.0,47880.0,1200.0,0.0,2000.0,0.0,3000.0,Harleen Quinnzel
1.0,Full-Time,40.79372629948364,3283846750770562048,Haryana,Gurgaon,2015-05-01,9,True,9,Active,True,Alan George Tullin,Alan Tullin,UI/UX,African American,L6,30,1994-06-03,USA,Male,He/Him,"craft beer, blogging","rugby,cycling,running",1.0,Senior UX Designer,Any,2015-10-30,Unknown,,,2.0,Paid Leave,34.0,100.0,10.0,100.0,100.0,50.0,50.0,10.0,10.0,100.0,100.0,50.0,100.0,100.0,3.0,3.0,7.0,51500,618000,HSBC,monthly,EMP8492,51500.0,61800.0,24720.0,37080.0,1200.0,0.0,2000.0,1000.0,0.0,Tim Drake
1.0,Full-Time,36.838720755028824,3283846753354253312,Karnataka,Bengaluru,2015-02-20,10,True,17,Active,True,Matthew Marvin Hirst,Matthew Hirst,Management,White,L6,41,1983-06-06,USA,Male,He/Him,"fitness, coffee, football","pilates,yoga,craft beer",1.0,Project Manager,Vegetarian,2015-08-21,Unknown,,,0.0,Paid Leave,36.0,10.0,10.0,10.0,10.0,50.0,50.0,10.0,10.0,10.0,100.0,10.0,10.0,10.0,10.0,2.0,1.0,69000,828000,HSBC,monthly,EMP18,69000.0,82800.0,33120.0,49680.0,1200.0,0.0,2000.0,0.0,3000.0,Bruce Wayne
1.0,Full-Time,36.55070905994201,3283846755770172416,West Bengal,Kolkata,2015-02-20,10,True,19,Active,True,Pamala Canavan,Pamala Canavan,Human Resources,White,L6,43,1981-03-01,UK,Female,She/Her,"sports entertainment, cooking, blogging","crossfit,swimming",2.0,HR Director,Vegetarian,2015-08-21,Unknown,,,0.0,Paid Leave,32.0,10.0,10.0,10.0,10.0,100.0,50.0,10.0,10.0,10.0,100.0,10.0,10.0,10.0,10.0,1.0,2.0,73000,876000,HSBC,monthly,EMP8333,73000.0,87600.0,35040.0,52560.0,1200.0,600.0,4000.0,1000.0,0.0,Joe Karr
1.0,Full-Time,36.09776730324324,3283846758261588992,West Bengal,Kolkata,2014-12-16,10,True,16,Active,True,Audrey Clair Darby,Audrey Darby,Marketing,African American,L6,39,1985-02-14,USA,Male,He/Him,"coffee, fitness, cooking","gigs,cooking,gardening",2.0,Senior Marketing Manager,Any,2015-06-16,Unknown,,,0.0,Paid Leave,34.0,50.0,10.0,10.0,10.0,100.0,50.0,10.0,10.0,50.0,100.0,10.0,50.0,50.0,6.0,5.0,2.0,67000,804000,HSBC,monthly,EMP3504,67000.0,80400.0,32160.0,48240.0,1200.0,0.0,4000.0,1000.0,0.0,Harvey Dent
1.0,Full-Time,42.27678721919812,3283846760753005568,West Bengal,Kolkata,2015-03-02,10,True,10,Active,True,Aadhya Legge,Aadhya Legge,Customer Service,White,L6,33,1991-10-01,USA,Female,She/Her,"craft beer, blogging","gardening,cycling,running",2.0,Engagement Manager,Kosher,2015-08-31,Unknown,,,0.0,Paid Leave,29.0,50.0,10.0,10.0,10.0,100.0,10.0,10.0,10.0,50.0,100.0,10.0,10.0,10.0,9.0,2.0,2.0,55000,660000,HSBC,monthly,EMP7672,55000.0,66000.0,26400.0,39600.0,1200.0,0.0,4000.0,0.0,0.0,Zatanna Zatara
1.0,Full-Time,39.861596416348654,3283846763454137344,West Bengal,Kolkata,2015-03-14,10,True,15,Active,True,Laura Anne Francis,Laura Francis,Machine Learning,White,L5,39,1985-09-12,UK,Male,He/Him,"coffee, fitness, cooking","crossfit,swimming",0.0,Senior Data Scientist,Any,2015-09-12,Unknown,,,2.0,Paid Leave,35.0,50.0,10.0,100.0,100.0,10.0,50.0,10.0,10.0,50.0,100.0,10.0,10.0,10.0,7.0,3.0,3.0,62500,750000,HSBC,monthly,EMP1832,62500.0,75000.0,30000.0,45000.0,1200.0,600.0,0.0,0.0,0.0,Stephanie Brown
1.0,Full-Time,36.21283831428774,3283846766364984320,Karnataka,Bengaluru,2014-12-01,10,True,19,Active,True,Faith Dale,Faith Dale,Sales,White,L6,43,1981-04-08,UK,Female,She/Her,"coffee, fitness, cooking","crossfit,swimming",0.0,Senior Sales Manager,Vegetarian,2015-06-01,Unknown,,,0.0,Paid Leave,32.0,50.0,10.0,10.0,10.0,10.0,50.0,10.0,10.0,50.0,100.0,10.0,10.0,10.0,9.0,3.0,1.0,73000,876000,HSBC,monthly,EMP1314,73000.0,87600.0,35040.0,52560.0,1200.0,600.0,0.0,0.0,0.0,Renee Montoya
1.0,Full-Time,34.37492855311095,3283846768931898368,Karnataka,Bengaluru,2023-08-01,1,False,3,Active,True,Ryan Viktor Bieber,Ryan Bieber,IT,White,L1,25,1999-04-04,UK,Female,She/Her,"football, blogging","craft beer,yoga,pilates",0.0,IT Support,Any,2024-01-30,Unknown,,,1.0,Paid Leave,33.0,50.0,100.0,50.0,50.0,10.0,50.0,100.0,50.0,50.0,100.0,100.0,50.0,50.0,1.0,8.0,4.0,15000,180000,Standard Chartered,monthly,EMP7970,15000.0,18000.0,0.0,0.0,1200.0,600.0,0.0,0.0,0.0,Jon Stewart
1.0,Full-Time,43.711376958202976,3283846771557532672,Haryana,Gurgaon,2015-03-03,10,True,15,Active,True,Anna Gibbons,Anna Gibbons,UI/UX,African American,L5,39,1985-11-29,USA,Male,He/Him,"fitness, coffee, football","theatre,film,music",1.0,UI/UX Manager,Any,2015-09-01,Unknown,,,0.0,Maternity Leave,189.0,100.0,50.0,10.0,10.0,50.0,50.0,10.0,10.0,100.0,100.0,10.0,100.0,100.0,5.0,3.0,5.0,62500,750000,HSBC,monthly,EMP3147,62500.0,75000.0,30000.0,45000.0,1200.0,0.0,2000.0,0.0,0.0,Tim Drake
1.0,Full-Time,35.026913575689406,3283846774124446720,Karnataka,Bengaluru,2023-08-01,1,False,4,Active,True,Sandra Beth Logen,Sandra Logen,IT,White,L1,27,1997-04-30,Canada,Male,He/Him,"football, blogging",yoga,2.0,IT Support,Any,2024-01-30,Unknown,,,1.0,Paid Leave,27.0,50.0,100.0,50.0,50.0,100.0,10.0,100.0,50.0,50.0,100.0,100.0,50.0,50.0,1.0,7.0,5.0,17000,204000,Standard Chartered,monthly,EMP5112,17000.0,20400.0,0.0,0.0,1200.0,0.0,4000.0,0.0,0.0,Hal Jordan
1.0,Full-Time,44.67101220969451,3283846776708137984,Karnataka,Bengaluru,2014-02-12,11,True,20,Active,True,Zoe Clark,Zoe Clark,Sales,White,L6,41,1983-05-08,USA,Female,She/Her,"fitness, coffee, football","running,cycling",1.0,Senior Sales Manager,Any,2014-08-13,Unknown,,,0.0,Paid Leave,34.0,50.0,10.0,10.0,10.0,50.0,50.0,10.0,10.0,50.0,100.0,10.0,10.0,10.0,8.0,4.0,1.0,76500,918000,HSBC,monthly,EMP7328,76500.0,91800.0,36720.0,55080.0,1200.0,600.0,2000.0,0.0,0.0,Renee Montoya
1.0,Full-Time,36.44763609827884,3283846778905953280,Karnataka,Bengaluru,2015-03-20,10,True,13,Active,True,Amy Miles,Amy Miles,UI/UX,White,L6,36,1988-08-03,Canada,Female,She/Her,"sports entertainment, cooking, blogging","yoga,cooking,film",0.0,Senior UX Designer,Vegetarian,2015-09-18,Unknown,,,0.0,Paid Leave,31.0,100.0,10.0,10.0,10.0,10.0,50.0,10.0,10.0,100.0,100.0,10.0,100.0,100.0,7.0,1.0,5.0,61000,732000,HSBC,monthly,EMP7192,61000.0,73200.0,29280.0,43920.0,1200.0,0.0,0.0,0.0,3000.0,Jason Todd
1.0,Full-Time,32.53730702394404,3283846781112157184,West Bengal,Kolkata,2023-08-01,1,False,1,Active,True,Celine Miriam Harlow,Celine Harlow,Platform,Asian,L1,22,2002-05-06,USA,Male,He/Him,"craft beer, chess","swimming,crossfit",0.0,Junior Backend Developer,Any,2024-01-30,Unknown,,,1.0,Paid Leave,27.0,100.0,100.0,50.0,50.0,10.0,10.0,100.0,50.0,100.0,100.0,100.0,100.0,100.0,2.0,3.0,8.0,11000,132000,Standard Chartered,monthly,EMP3668,11000.0,13200.0,0.0,0.0,1200.0,0.0,0.0,1000.0,0.0,Duke Thomas
1.0,Full-Time,43.300189594090995,3283846783226086400,West Bengal,Kolkata,2015-01-01,10,True,15,Active,True,Finley Day,Finley Day,Management,White,L6,38,1986-02-24,Canada,Male,He/Him,"travelling, chess, sports entertainment","sailing,crossfit",0.0,Project Manager,Any,2015-07-02,Unknown,,,0.0,Paid Leave,29.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0,10.0,10.0,12.0,0.0,1.0,65000,780000,HSBC,monthly,EMP8880,65000.0,78000.0,31200.0,46800.0,1200.0,0.0,0.0,0.0,0.0,Bruce Wayne
1.0,Full-Time,36.12495164791374,3283846785834943488,Karnataka,Bengaluru,2015-01-01,10,True,10,Active,True,William Theodor Morris,William Morris,Marketing,White,L4,31,1993-04-23,USA,Female,She/Her,"theatres and movies, travelling",football,0.0,Brand Manager,Any,2015-07-02,Unknown,,,2.0,Sick Leave,51.0,50.0,10.0,100.0,100.0,10.0,100.0,10.0,10.0,50.0,100.0,50.0,50.0,50.0,4.0,5.0,4.0,50000,600000,HSBC,monthly,EMP210,50000.0,48000.0,12000.0,0.0,1200.0,0.0,0.0,0.0,3000.0,Harvey Dent
1.0,Full-Time,41.10260955931305,3283846788208919552,Karnataka,Bengaluru,2014-11-15,10,True,12,Active,True,Naomi Hibbert,Naomi Hibbert,Platform,White,L6,33,1991-07-05,UK,Male,He/Him,"coffee, fitness, cooking","skiing,snowboarding",0.0,Platform Director,Any,2015-05-16,Unknown,,,2.0,Paid Leave,27.0,100.0,10.0,100.0,100.0,10.0,10.0,10.0,10.0,100.0,100.0,10.0,100.0,100.0,6.0,0.0,7.0,59000,708000,HSBC,monthly,EMP4227,59000.0,70800.0,28320.0,42480.0,1200.0,0.0,0.0,1000.0,0.0,Duke Thomas
1.0,Full-Time,37.31110381275102,3283846790868108288,West Bengal,Kolkata,2014-02-12,11,True,12,Active,True,George Dan Devin,George Devin,Finance & Admin,White,L5,36,1988-07-30,Canada,Male,He/Him,"coffee, fitness, cooking","pilates,football",2.0,Finance Manager,Any,2014-08-13,Unknown,,,0.0,Sick Leave,49.0,10.0,10.0,10.0,10.0,100.0,100.0,10.0,10.0,10.0,100.0,10.0,50.0,50.0,8.0,2.0,3.0,58000,696000,HSBC,monthly,EMP6043,58000.0,69600.0,27840.0,41760.0,1200.0,600.0,4000.0,0.0,0.0,Victor Fries
1.0,Full-Time,36.69997499975893,3283846793376302080,Karnataka,Bengaluru,2016-01-01,9,True,11,Active,True,Natasha Dwell,Natasha Dwell,Human Resources,White,L3,35,1989-05-15,UK,Male,He/Him,"sports entertainment, cooking, blogging","pilates,yoga,running,cycling",1.0,HR Generalist,Any,2016-07-01,Unknown,,,0.0,Sick Leave,46.0,10.0,10.0,10.0,10.0,50.0,100.0,10.0,10.0,10.0,100.0,10.0,10.0,10.0,10.0,1.0,2.0,48000,576000,HSBC,monthly,EMP1628,48000.0,57600.0,0.0,0.0,1200.0,0.0,2000.0,0.0,3000.0,Joe Karr
1.0,Full-Time,39.26502185994478,3283846795725112320,Karnataka,Bengaluru,2014-12-10,10,True,12,Active,True,Sarah Gill,Sarah Gill,Sales,Hispanic,L5,33,1991-09-15,USA,Male,He/Him,"sports entertainment, cooking, blogging","cooking,pilates",2.0,Regional Sales Manager,Any,2015-06-10,Unknown,,,0.0,Paid Leave,35.0,50.0,10.0,10.0,10.0,100.0,50.0,10.0,10.0,50.0,100.0,10.0,10.0,10.0,8.0,3.0,2.0,56500,678000,HSBC,monthly,EMP687,56500.0,67800.0,27120.0,40680.0,1200.0,600.0,4000.0,1000.0,0.0,Renee Montoya
1.0,Full-Time,37.6620193260658,3283846798216528896,Karnataka,Bengaluru,2015-02-14,10,True,17,Active,True,Tia Davidson,Tia Davidson,Sales,White,L4,41,1983-03-09,UK,Female,She/Her,"travelling, chess, sports entertainment",photography,2.0,Sales Manager,Any,2015-08-15,Unknown,,,0.0,Paid Leave,28.0,50.0,10.0,10.0,10.0,100.0,10.0,10.0,10.0,50.0,100.0,10.0,10.0,10.0,9.0,2.0,2.0,64000,768000,HSBC,monthly,EMP1231,64000.0,61440.0,15360.0,0.0,1200.0,0.0,4000.0,0.0,0.0,Jim Gordon
1.0,Full-Time,47.00053733579164,3283846800607282176,Karnataka,Bengaluru,2014-05-11,10,True,12,Active,True,Oliver John Abbott,Oliver Abbott,Marketing,White,L4,34,1990-04-13,Canada,Female,She/Her,"fitness, coffee, football",photography,0.0,Brand Manager,Any,2014-11-09,Unknown,,,0.0,Paid Leave,36.0,50.0,10.0,10.0,10.0,10.0,50.0,10.0,10.0,50.0,100.0,10.0,50.0,50.0,7.0,5.0,1.0,54000,648000,HSBC,monthly,EMP9760,54000.0,51840.0,12960.0,0.0,1200.0,0.0,0.0,1000.0,3000.0,Harleen Quinnzel
1.0,Full-Time,41.78071283184091,3283846802763154432,Karnataka,Bengaluru,2014-03-01,11,True,12,Active,True,Joe Mason,Joe Mason,Finance & Admin,White,L6,33,1991-10-07,Canada,Female,She/Her,"football, blogging","football,craft beer",2.0,Senior Finance Manager,Any,2014-08-30,Unknown,,,0.0,Maternity Leave,186.0,10.0,10.0,10.0,10.0,100.0,50.0,10.0,10.0,10.0,100.0,10.0,50.0,50.0,8.0,3.0,2.0,60500,726000,HSBC,monthly,EMP8597,60500.0,72600.0,29040.0,43560.0,1200.0,0.0,4000.0,1000.0,3000.0,Oswald Cobblepot
1.0,Full-Time,46.48408647287614,3283846805070021632,Haryana,Gurgaon,2014-11-13,10,True,19,Active,True,Joel Henry Hammond,Joel Hammond,Platform,White,L3,43,1981-03-25,USA,Male,He/Him,"sports entertainment, cooking, blogging","skiing,snowboarding",0.0,Backend Developer,Any,2015-05-14,Unknown,,,0.0,Paid Leave,34.0,100.0,50.0,10.0,10.0,10.0,50.0,10.0,10.0,100.0,100.0,10.0,100.0,100.0,6.0,2.0,5.0,65500,786000,HSBC,monthly,EMP722,65500.0,78600.0,0.0,0.0,1200.0,0.0,0.0,0.0,3000.0,Duke Thomas
1.0,Full-Time,47.44024218603134,3283846807360111616,Haryana,Gurgaon,2015-04-10,10,True,16,Active,True,Kian Roberts,Kian Roberts,Machine Learning,White,L4,38,1986-02-20,UK,Female,She/Her,"travelling, chess, sports entertainment",photography,2.0,MLOps Engineer,Any,2015-10-09,Unknown,,,0.0,Sick Leave,45.0,50.0,10.0,10.0,10.0,100.0,100.0,10.0,10.0,50.0,100.0,10.0,10.0,10.0,8.0,2.0,3.0,62000,744000,HSBC,monthly,EMP1585,62000.0,74400.0,0.0,0.0,1200.0,600.0,4000.0,0.0,0.0,Cassandra Cain
1.0,Full-Time,45.46695145358409,3283846810069632000,Karnataka,Bengaluru,2016-08-01,8,True,12,Active,True,Sussane Solomon,Sussane Solomon,UI/UX,African American,L4,36,1988-10-18,USA,Male,He/Him,"chess, football","cycling,football,film",2.0,Senior Frontend Developer,Any,2017-01-30,Unknown,,,0.0,Paid Leave,28.0,100.0,10.0,10.0,10.0,100.0,10.0,10.0,10.0,100.0,100.0,10.0,100.0,100.0,7.0,0.0,6.0,51000,612000,HSBC,monthly,EMP8584,51000.0,61200.0,0.0,0.0,1200.0,600.0,4000.0,1000.0,0.0,Barabara Gordon
1.0,Full-Time,44.07755095686326,3283846812804318208,Haryana,Gurgaon,2016-04-08,9,True,12,Active,True,Joy James Vance,Joy Vance,UI/UX,White,L5,36,1988-10-20,UK,Male,He/Him,"coffee, fitness, cooking","gardening,football,film",0.0,UI/UX Manager,Any,2016-10-07,Unknown,,,0.0,Maternity Leave,192.0,100.0,50.0,10.0,10.0,10.0,50.0,10.0,10.0,100.0,100.0,10.0,100.0,100.0,6.0,2.0,5.0,55000,660000,HSBC,monthly,EMP3324,55000.0,66000.0,26400.0,39600.0,1200.0,0.0,0.0,0.0,0.0,Richard Grayson
1.0,Full-Time,37.041563933227934,3283846815161517056,Karnataka,Bengaluru,2014-11-20,10,True,11,Active,True,Sharon Pearl Bohgal,Sharon Bohgal,Sales,White,L3,35,1989-02-13,UK,Male,He/Him,"craft beer, blogging","pilates,yoga",0.0,Sales Executive,Any,2015-05-21,Unknown,,,0.0,Paid Leave,33.0,50.0,50.0,10.0,10.0,10.0,50.0,10.0,10.0,50.0,100.0,10.0,10.0,10.0,8.0,4.0,1.0,49500,594000,HSBC,monthly,EMP9621,49500.0,47520.0,11880.0,0.0,1200.0,0.0,0.0,1000.0,3000.0,Arnold Flass
1.0,Full-Time,39.460940927012444,3283846817569047552,Karnataka,Bengaluru,2015-02-20,10,True,12,Active,True,Malcolm Riley Farish,Malcolm Farish,UI/UX,White,L4,33,1991-09-07,UK,Male,He/Him,"craft beer, blogging","chess,theatre,film",1.0,Senior Frontend Developer,Any,2015-08-21,Unknown,,,2.0,Sick Leave,45.0,100.0,10.0,100.0,100.0,50.0,100.0,10.0,10.0,100.0,100.0,10.0,100.0,100.0,4.0,1.0,8.0,54000,648000,HSBC,monthly,EMP5629,54000.0,64800.0,0.0,0.0,1200.0,0.0,2000.0,0.0,3000.0,Richard Grayson
